Date,Open,High,Low,Close,Adj Close,Volume
20-07-2001,1.45,1.483,1.425,1.466,1.257538,17858000
23-07-2001,1.5,1.55,1.475,1.55,1.329593,4428000
24-07-2001,1.55,1.565,1.529,1.529,1.311579,4202000
25-07-2001,1.485,1.5,1.465,1.465,1.25668,1790000
26-07-2001,1.465,1.475,1.465,1.465,1.25668,1784000
27-07-2001,1.465,1.48,1.465,1.465,1.25668,897000
30-07-2001,1.475,1.475,1.45,1.46,1.252391,2105000
31-07-2001,1.481,1.5,1.44,1.465,1.25668,739000
01-08-2001,1.475,1.505,1.475,1.499,1.285845,887000
02-08-2001,1.489,1.5,1.462,1.5,1.286703,1224000
03-08-2001,1.49,1.525,1.49,1.5,1.286703,576000
06-08-2001,1.5,1.518,1.483,1.5,1.286703,764000
07-08-2001,1.505,1.575,1.505,1.545,1.325304,1315000
08-08-2001,1.545,1.6,1.545,1.585,1.359616,1626000
09-08-2001,1.61,1.699,1.595,1.635,1.402506,1018000
10-08-2001,1.63,1.635,1.59,1.592,1.365621,182000
13-08-2001,1.59,1.6,1.58,1.6,1.372483,245000
14-08-2001,1.6,1.605,1.592,1.604,1.375914,324000
15-08-2001,1.59,1.595,1.49,1.51,1.295281,1329000
16-08-2001,1.51,1.56,1.51,1.55,1.329593,390000
17-08-2001,1.565,1.575,1.54,1.57,1.346749,445000
20-08-2001,1.585,1.6,1.55,1.595,1.368194,305000
21-08-2001,1.595,1.609,1.585,1.606,1.37763,775000
22-08-2001,1.61,1.65,1.605,1.65,1.415373,214000
23-08-2001,1.65,1.68,1.65,1.672,1.434245,559000
24-08-2001,1.68,1.68,1.65,1.65,1.415373,983000
27-08-2001,1.65,1.65,1.61,1.61,1.381061,1358000
28-08-2001,1.615,1.619,1.592,1.599,1.371625,582000
29-08-2001,1.585,1.6,1.575,1.59,1.363905,1421000
30-08-2001,1.585,1.585,1.55,1.57,1.346749,1083000
31-08-2001,1.56,1.573,1.55,1.55,1.329593,80000
04-09-2001,1.54,1.575,1.535,1.57,1.346749,314000
05-09-2001,1.595,1.7,1.585,1.685,1.445396,1393000
06-09-2001,1.66,1.66,1.625,1.625,1.393928,413000
07-09-2001,1.7,1.729,1.65,1.719,1.474561,1464000
10-09-2001,1.713,1.713,1.672,1.676,1.437676,1003000
17-09-2001,1.525,1.525,1.315,1.35,1.158033,853000
18-09-2001,1.365,1.402,1.3,1.3,1.115142,1084000
19-09-2001,1.3,1.354,1.3,1.354,1.161464,1178000
20-09-2001,1.355,1.355,1.3,1.3,1.115142,616000
21-09-2001,1.25,1.265,1.24,1.249,1.071394,1395000
24-09-2001,1.3,1.426,1.3,1.39,1.192344,829000
25-09-2001,1.305,1.305,1.295,1.3,1.115142,1016000
26-09-2001,1.3,1.315,1.25,1.31,1.12372,949000
27-09-2001,1.32,1.335,1.32,1.32,1.132298,1338000
28-09-2001,1.32,1.4,1.32,1.38,1.183767,649000
01-10-2001,1.4,1.4,1.385,1.4,1.200922,735000
02-10-2001,1.39,1.41,1.39,1.41,1.2095,200000
03-10-2001,1.4,1.415,1.363,1.363,1.169184,1119000
04-10-2001,1.38,1.409,1.365,1.405,1.205212,691000
05-10-2001,1.38,1.4,1.38,1.4,1.200922,410000
08-10-2001,1.385,1.403,1.385,1.4,1.200922,204000
09-10-2001,1.39,1.391,1.365,1.365,1.1709,46000
10-10-2001,1.38,1.5,1.38,1.455,1.248102,724000
11-10-2001,1.5,1.702,1.5,1.7,1.458263,1155000
12-10-2001,1.67,1.67,1.568,1.585,1.359616,224000
15-10-2001,1.595,1.662,1.585,1.634,1.401649,604000
16-10-2001,1.634,1.634,1.565,1.58,1.355327,178000
17-10-2001,1.6,1.6,1.595,1.6,1.372483,517000
18-10-2001,1.6,1.6,1.58,1.58,1.355327,283000
19-10-2001,1.58,1.58,1.56,1.56,1.338171,34000
22-10-2001,1.55,1.55,1.52,1.52,1.303859,62000
23-10-2001,1.515,1.515,1.5,1.5,1.286703,400000
24-10-2001,1.501,1.501,1.492,1.492,1.27984,658000
25-10-2001,1.492,1.492,1.45,1.455,1.248102,553000
26-10-2001,1.455,1.555,1.45,1.538,1.319299,278000
29-10-2001,1.558,1.587,1.55,1.57,1.346749,694000
30-10-2001,1.549,1.549,1.485,1.485,1.273836,386000
31-10-2001,1.48,1.531,1.48,1.522,1.305574,125000
01-11-2001,1.5,1.5,1.48,1.49,1.278125,147000
02-11-2001,1.476,1.476,1.475,1.475,1.265258,863000
05-11-2001,1.475,1.475,1.46,1.46,1.252391,196000
06-11-2001,1.47,1.47,1.465,1.465,1.25668,411000
07-11-2001,1.455,1.455,1.395,1.4,1.200922,1555000
08-11-2001,1.4,1.415,1.4,1.41,1.2095,466000
09-11-2001,1.41,1.43,1.4,1.41,1.2095,565000
12-11-2001,1.41,1.41,1.4,1.4,1.200922,78000
13-11-2001,1.4,1.402,1.375,1.375,1.179478,1297000
14-11-2001,1.375,1.401,1.375,1.39,1.192344,785000
15-11-2001,1.4,1.44,1.4,1.427,1.224084,2907000
